model,scenario,variant
EC-Earth3-CC,SSP245,r1i1p1f1
EC-Earth3-Veg,SSP245,r1i1p1f1
FGOALS-g3,SSP245,r1i1p1f1
FIO-ESM-2-0,SSP245,r1i1p1f1
GFDL-CM4,SSP245,r1i1p1f1
GFDL-ESM4,SSP245,r1i1p1f1
HadGEM3-GC31-LL,SSP245,r1i1p1f3
INM-CM4-8,SSP245,r1i1p1f1
INM-CM5-0,SSP245,r1i1p1f1
IPSL-CM6A-LR,SSP245,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
MIROC6,SSP245,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
MPI-ESM1-2-HR,SSP245,r1i1p1f1
MPI-ESM1-2-LR,SSP245,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
MRI-ESM2-0,SSP245,r1i1p1f1
NESM3,SSP245,r1i1p1f1
NorESM2-LM,SSP245,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
NorESM2-MM,SSP245,r1i1p1f1
UKESM1-0-LL,SSP245,"r1i1p1f2, r2i1p1f2, r3i1p1f2, r4i1p1f2, r8i1p1f2"
ACCESS-CM2,SSP585,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
ACCESS-ESM1-5,SSP585,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
BCC-CSM2-MR,SSP585,r1i1p1f1
CAMS-CSM1-0,SSP585,"r1i1p1f1, r2i1p1f1"
CIESM,SSP585,r1i1p1f1
CMCC-CM2-SR5,SSP585,r1i1p1f1
CMCC-ESM2,SSP585,r1i1p1f1
CanESM5,SSP585,"r1i1p1f1, r1i1p2f1, r2i1p1f1, r2i1p2f1, r3i1p1f1, r3i1p2f1, r4i1p1f1, r4i1p2f1, r5i1p1f1, r5i1p2f1, r6i1p2f1, r7i1p2f1, r8i1p1f1, r8i1p2f1, r9i1p2f1, r10i1p2f1"
EC-Earth3-CC,SSP585,r1i1p1f1
EC-Earth3-Veg,SSP585,r1i1p1f1
FGOALS-f3-L,SSP585,r1i1p1f1
FGOALS-g3,SSP585,r1i1p1f1
FIO-ESM-2-0,SSP585,r1i1p1f1
GFDL-CM4,SSP585,r1i1p1f1
GFDL-ESM4,SSP585,r1i1p1f1
HadGEM3-GC31-LL,SSP585,"r1i1p1f3, r2i1p1f3, r3i1p1f3, r4i1p1f3"
HadGEM3-GC31-MM,SSP585,"r1i1p1f3, r2i1p1f3, r3i1p1f3, r4i1p1f3"
INM-CM4-8,SSP585,r1i1p1f1
INM-CM5-0,SSP585,r1i1p1f1
IPSL-CM6A-LR,SSP585,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
MIROC6,SSP585,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
MPI-ESM1-2-HR,SSP585,r1i1p1f1
MPI-ESM1-2-LR,SSP585,"r1i1p1f1, r2i1p1f1, r3i1p1f1"
MRI-ESM2-0,SSP585,r1i1p1f1
NESM3,SSP585,r1i1p1f1
NorESM2-LM,SSP585,r1i1p1f1
NorESM2-MM,SSP585,r1i1p1f1
UKESM1-0-LL,SSP585,"r1i1p1f2, r2i1p1f2, r3i1p1f2, r4i1p1f2, r8i1p1f2"
